glue_id,smiles,mw,clogp,tpsa,cns_mpo_proxy,herg_liability_prob,herg_predicted_active
GLUE1159,C[C@H]1NCc2cc(OC(=O)Nc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4)ccc21,434.45,2.22,116.8,3.5,0.4536844034453216,0
GLUE0235,Cc1ccccc1OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,393.4,2.37,104.8,3.5,0.4537091358835456,0
GLUE0126,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccccc4Cl)c3C2=O)C(=O)N1,412.83,2.75,107.6,3.5,0.45455978344381887,0
GLUE1040,Cc1cccc(Cl)c1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,411.85,2.66,95.6,3.5,0.45470695049979726,0
GLUE2332,O=C1CCC(N2Cc3cccc(NC(=O)OC(F)(F)C(Cl)Cl)c3C2=O)C(=O)N1,436.2,2.39,104.8,3.5,0.4547198954058694,0
GLUE1251,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc5c(c4)CCO5)c3C2=O)C(=O)N1,420.43,2.03,116.8,3.5,0.4549202497736269,0
GLUE2045,CC(C)(OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(F)(F)F,413.35,2.34,104.8,3.5,0.4551416176427435,0
GLUE0424,O=C1CCC(N2Cc3cccc(NC(=O)Oc4c(F)cc(F)cc4F)c3C2=O)C(=O)N1,433.34,2.48,104.8,3.5,0.4555432966831903,0
GLUE1370,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cc5ccccc5s4)c3C2=O)C(=O)N1,433.49,2.84,95.6,3.5,0.4555572044966594,0
GLUE2114,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc5ccccc5c4)c3C2=O)C(=O)N1,413.43,2.85,95.6,3.5,0.45615624139264277,0
GLUE1231,Cc1ccc(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1C,405.45,2.25,95.6,3.5,0.4563117229945575,0
GLUE2722,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(Cl)s4)c3C2=O)C(=O)N1,417.87,2.34,95.6,3.5,0.4564839155055207,0
GLUE0249,Cc1ccc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,392.42,2.4,107.6,3.5,0.45717163738554784,0
GLUE0696,Cc1cccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,393.4,2.37,104.8,3.5,0.45727231478786085,0
GLUE0777,O=C1CCC(N2Cc3cccc(NC(=O)CC(Cl)(Cl)Cl)c3C2=O)C(=O)N1,418.66,2.15,95.6,3.5,0.4593889438564714,0
GLUE1375,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc5ncccc5c4)c3C2=O)C(=O)N1,428.45,2.18,108.5,3.5,0.45961920319320093,0
GLUE0123,O=C1CCC(N2Cc3cccc(NC(=O)c4ccccc4Cl)c3C2=O)C(=O)N1,397.82,2.35,95.6,3.5,0.45998124568588883,0
GLUE0140,O=C1CCC(N2Cc3cccc(NC(=O)Nc4cccs4)c3C2=O)C(=O)N1,384.42,2.15,107.6,3.5,0.4602454911461939,0
GLUE0092,O=C1CCC(N2Cc3cccc(NC(=O)OC4CCCCC4)c3C2=O)C(=O)N1,385.42,2.33,104.8,3.5,0.4606164733121946,0
GLUE0125,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccccc4Cl)c3C2=O)C(=O)N1,411.85,2.28,95.6,3.5,0.46079312858368415,0
GLUE2407,Cc1ccc(C)c(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,391.43,2.32,95.6,3.5,0.4610149662701725,0
GLUE2322,O=C1CCC(N2Cc3cccc(NC(=O)OC(Cl)C(F)(F)F)c3C2=O)C(=O)N1,419.74,2.12,104.8,3.5,0.4611886160614322,0
GLUE0454,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4F)c3C2=O)C(=O)N1,397.36,2.2,104.8,3.5,0.461689459664298,0
GLUE1411,C#Cc1cccc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,402.41,2.07,107.6,3.5,0.4618797761303556,0
GLUE0231,Cc1ccccc1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,377.4,2.01,95.6,3.5,0.4629450812590564,0
GLUE0423,O=C1CCC(N2Cc3cccc(NC(=O)Nc4c(F)cc(F)cc4F)c3C2=O)C(=O)N1,432.36,2.51,107.6,3.5,0.4650130091860876,0
GLUE0258,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cccc(Cl)c4Cl)c3C2=O)C(=O)N1,446.29,2.94,95.6,3.5,0.4655286117497555,0
GLUE0695,Cc1cccc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,392.42,2.4,107.6,3.5,0.46649688021569213,0
GLUE2327,O=C1CCC(N2Cc3cccc(NC(=O)OC(F)(F)C(F)Cl)c3C2=O)C(=O)N1,419.74,2.12,104.8,3.5,0.46665202033313513,0
GLUE2116,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc5ccccc5c4)c3C2=O)C(=O)N1,427.46,2.78,95.6,3.5,0.4685085292377495,0
GLUE0626,O=C1CCC(N2Cc3cccc(NC(=O)ON[C@@H]4CCc5ccccc54)c3C2=O)C(=O)N1,434.45,2.19,116.8,3.5,0.4686230606468711,0
GLUE0579,Cn1cc(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c2ccccc21,430.46,2.12,100.5,3.5,0.4688751346164846,0
GLUE2730,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc(Cl)c4F)c3C2=O)C(=O)N1,415.81,2.49,95.6,3.5,0.4691240533655386,0
GLUE1509,CC1(C)C2CCC(C2)C1(C)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,438.53,2.78,107.6,3.5,0.4696039347353796,0
GLUE2734,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cccc(Cl)c4F)c3C2=O)C(=O)N1,431.81,2.85,104.8,3.5,0.47050547688449296,0
GLUE2732,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cccc(Cl)c4F)c3C2=O)C(=O)N1,429.84,2.42,95.6,3.5,0.47088007827160316,0
GLUE1232,Cc1ccc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1C,406.44,2.71,107.6,3.5,0.47145038078068163,0
GLUE2348,O=C1CCC(N2Cc3cccc(NC(=O)C(C(F)(F)F)C(F)(F)F)c3C2=O)C(=O)N1,437.3,2.13,95.6,3.5,0.4730746520900834,0
GLUE1082,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cccc5c4CCCC5=O)c3C2=O)C(=O)N1,445.48,2.15,112.7,3.5,0.47346938898136415,0
GLUE0169,O=C1CCC(N2Cc3cccc(NC(=O)Cc4c(Cl)cccc4Cl)c3C2=O)C(=O)N1,446.29,2.94,95.6,3.5,0.47544033445111406,0
GLUE0003,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccccc4)c3C2=O)C(=O)N1,378.39,2.09,107.6,3.5,0.47554594284553703,0
GLUE0165,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(F)cc4F)c3C2=O)C(=O)N1,414.37,2.37,107.6,3.5,0.4760460138478732,0
GLUE2429,O=C1CCC(N2Cc3cccc(NC(=O)Cc4c(F)cccc4Cl)c3C2=O)C(=O)N1,429.84,2.42,95.6,3.5,0.47611888312214307,0
GLUE1257,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc5c(c4)CCC5)c3C2=O)C(=O)N1,419.44,2.55,104.8,3.5,0.47611953374727245,0
GLUE1412,C#Cc1cccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,403.39,2.04,104.8,3.5,0.4761596843139613,0
GLUE1438,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc5sccc45)c3C2=O)C(=O)N1,419.46,2.91,95.6,3.5,0.47652726362254166,0
GLUE0058,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(F)cc4)c3C2=O)C(=O)N1,397.36,2.2,104.8,3.5,0.4767911090668665,0
GLUE0004,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4)c3C2=O)C(=O)N1,379.37,2.06,104.8,3.5,0.4794212172311844,0
GLUE0408,O=C1CCC(N2Cc3cccc(NC(=O)Nc4cccc(F)c4)c3C2=O)C(=O)N1,396.38,2.23,107.6,3.5,0.47953073062629026,0
GLUE1042,Cc1cccc(Cl)c1CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,425.87,2.59,95.6,3.5,0.4803970510300191,0
GLUE2431,O=C1CCC(N2Cc3cccc(NC(=O)Oc4c(F)cccc4Cl)c3C2=O)C(=O)N1,431.81,2.85,104.8,3.5,0.4809707070316908,0
GLUE1255,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc5c(c4)CCC5)c3C2=O)C(=O)N1,417.47,2.12,95.6,3.5,0.48201784661570196,0
GLUE0420,O=C1CCC(N2Cc3cccc(NC(=O)c4c(F)cc(F)cc4F)c3C2=O)C(=O)N1,417.34,2.12,95.6,3.5,0.4836077503616569,0
GLUE0090,O=C1CCC(N2Cc3cccc(NC(=O)CC4CCCCC4)c3C2=O)C(=O)N1,383.45,2.36,95.6,3.5,0.4844678239627736,0
GLUE2068,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(Cl)c(Cl)c4)c3C2=O)C(=O)N1,446.29,2.94,95.6,3.5,0.48759906047222107,0
GLUE0622,O=C1CCC(N2Cc3cccc(NC(=O)N[C@@H]4CCc5ccccc54)c3C2=O)C(=O)N1,418.45,2.26,107.6,3.5,0.48845318774951973,0
GLUE0236,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc5ccccc45)c3C2=O)C(=O)N1,413.43,2.85,95.6,3.5,0.48872933978254934,0
GLUE2430,O=C1CCC(N2Cc3cccc(NC(=O)Nc4c(F)cccc4Cl)c3C2=O)C(=O)N1,430.82,2.88,107.6,3.5,0.4894509735700651,0
GLUE1767,N#Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,422.83,2.22,119.4,3.5,0.4930293313639243,0
GLUE0756,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cc(F)ccc4F)c3C2=O)C(=O)N1,415.35,2.34,104.8,3.5,0.4935065789304007,0
GLUE2039,Cc1cc(C)cc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,406.44,2.71,107.6,3.5,0.4943591438092249,0
GLUE2243,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc5[nH]ccc45)c3C2=O)C(=O)N1,402.41,2.18,111.4,3.5,0.4958610565862635,0
GLUE0580,Cn1cc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c2ccccc21,431.45,2.58,112.5,3.5,0.49599847342417014,0
GLUE1256,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc5c(c4)CCC5)c3C2=O)C(=O)N1,418.45,2.58,107.6,3.5,0.49820426419592245,0
GLUE0819,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(F)c(Cl)c4)c3C2=O)C(=O)N1,429.84,2.42,95.6,3.5,0.4989962054152792,0
GLUE0581,Cn1cc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c2ccccc21,432.44,2.55,109.7,3.5,0.499856573531719,0
GLUE0434,O=C1CCC(N2Cc3cccc(NC(=O)Oc4nsc5ccccc45)c3C2=O)C(=O)N1,436.45,2.67,117.7,3.5,0.5000981800739157,1
GLUE0577,Cn1cc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c2ccccc21,416.44,2.19,100.5,3.5,0.500485353200703,1
GLUE0409,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cccc(F)c4)c3C2=O)C(=O)N1,397.36,2.2,104.8,3.5,0.5017408901901637,1
GLUE0127,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4Cl)c3C2=O)C(=O)N1,413.82,2.71,104.8,3.5,0.5018045337833329,1
GLUE0724,CCCCCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,385.46,2.75,95.6,3.5,0.5038529898184636,1
GLUE0722,CCCCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,371.44,2.36,95.6,3.5,0.5038529898184636,1
GLUE1080,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc5c4CCCC5=O)c3C2=O)C(=O)N1,431.45,2.22,112.7,3.5,0.5050406437269955,1
GLUE0455,O=C1CCC(N2Cc3cccc(NC(=O)c4c[nH]c5ccccc45)c3C2=O)C(=O)N1,402.41,2.18,111.4,3.5,0.5050432844757499,1
GLUE1769,N#Cc1ccc(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,436.86,2.15,119.4,3.5,0.5058584301164505,1
GLUE0432,O=C1CCC(N2Cc3cccc(NC(=O)Cc4nsc5ccccc45)c3C2=O)C(=O)N1,434.48,2.24,108.5,3.5,0.5063161276060346,1
GLUE1368,O=C1CCC(N2Cc3cccc(NC(=O)c4cc5ccccc5s4)c3C2=O)C(=O)N1,419.46,2.91,95.6,3.5,0.5065995076148851,1
GLUE0460,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(Br)cc4)c3C2=O)C(=O)N1,442.27,2.46,95.6,3.5,0.5073839958936232,1
GLUE0817,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(F)c(Cl)c4)c3C2=O)C(=O)N1,415.81,2.49,95.6,3.5,0.5118175853413254,1
GLUE0820,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(F)c(Cl)c4)c3C2=O)C(=O)N1,430.82,2.88,107.6,3.5,0.5124491968697565,1
GLUE2427,O=C1CCC(N2Cc3cccc(NC(=O)c4c(F)cccc4Cl)c3C2=O)C(=O)N1,415.81,2.49,95.6,3.5,0.5153425090373208,1
GLUE0166,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(F)cc4F)c3C2=O)C(=O)N1,415.35,2.34,104.8,3.5,0.5155027907303187,1
GLUE1041,Cc1cccc(Cl)c1S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,447.9,2.21,112.7,3.5,0.5156917875175716,1
GLUE0335,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc(Cl)c4)c3C2=O)C(=O)N1,397.82,2.35,95.6,3.5,0.5157093653818591,1
