glue_id,smiles,inchikey,linker,source_fragment,mw,clogp,tpsa,hbd,hba,rtb,aromatic_rings,fsp3,qed,pka_basic_est,cns_mpo_proxy,cns_mpo_wager_approx,gate_mw_lt450,gate_clogp_2_4,gate_tpsa_lt90,gate_mpo_ge4,gate_pains_free,gate_anchor,gate_tpsa_lt120_fb,gate_mpo_ge3p5_fb,passes_all_gates,passes_fallback
GLUE0015,CN(C)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QHLWGDDHWGCJKP-UHFFFAOYSA-N,amide,*N(C)C,330.34,0.54,98.8,2,4,2,1,0.375,0.773,5.0,4.0,5.21,True,False,False,True,True,True,True,True,False,False
GLUE0016,CN(C)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,TUCULJZZPBPEEM-UHFFFAOYSA-N,sulfonamide,*N(C)C,366.4,-0.33,115.9,2,5,4,1,0.4,0.708,5.0,3.5,4.59,True,False,False,False,True,True,True,True,False,False
GLUE0017,CN(C)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,IEGGAXAGZPZLCY-UHFFFAOYSA-N,acetamide,*N(C)C,344.37,-0.05,98.8,2,5,4,1,0.412,0.746,9.5,4.0,4.46,True,False,False,True,True,True,True,True,False,False
GLUE0018,CN(C)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,XPUHMUKOFZUTJR-UHFFFAOYSA-N,urea,*N(C)C,345.36,0.05,110.8,3,5,3,1,0.375,0.529,9.5,4.0,3.72,True,False,False,True,True,True,True,True,False,False
GLUE0019,CN(C)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,LGKYXIPPSNMZIX-UHFFFAOYSA-N,carbamate,*N(C)C,346.34,0.47,108.1,2,6,3,1,0.375,0.608,9.5,4.0,4.15,True,False,False,True,True,True,True,True,False,False
GLUE0020,CC(=O)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,SGKVJCDCHKINRS-UHFFFAOYSA-N,amide,*C(C)=O,329.31,-0.02,112.7,2,5,3,1,0.312,0.597,5.0,4.0,4.74,True,False,False,True,True,True,True,True,False,False
GLUE0021,CC(=O)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WMWSOGBQXAKEHH-UHFFFAOYSA-N,sulfonamide,*C(C)=O,365.37,-0.26,129.7,2,6,3,1,0.333,0.71,5.0,3.0,4.46,True,False,False,False,True,True,False,False,False,False
GLUE0022,CC(=O)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,AEFWKCNGYGPCBG-UHFFFAOYSA-N,acetamide,*C(C)=O,343.34,0.37,112.7,2,5,4,1,0.353,0.606,5.0,4.0,4.74,True,False,False,True,True,True,True,True,False,False
GLUE0023,CC(=O)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,XSGJNOTZRFRYIQ-UHFFFAOYSA-N,urea,*C(C)=O,344.33,0.12,124.7,3,5,2,1,0.312,0.657,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0024,CC(=O)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,SWDMRKDRINHZSB-UHFFFAOYSA-N,carbamate,*C(C)=O,345.31,0.54,121.9,2,6,2,1,0.312,0.458,5.0,3.5,4.5,True,False,False,False,True,True,False,True,False,False
GLUE0025,NC(=O)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MFWPODCMBGDRCE-UHFFFAOYSA-N,amide,*C(N)=O,330.3,-1.13,138.7,3,5,2,1,0.267,0.465,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0026,NC(=O)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,BWUJHDUGJUHTBN-UHFFFAOYSA-N,sulfonamide,*C(N)=O,366.36,-0.73,155.7,3,6,3,1,0.286,0.599,5.0,3.0,4.12,True,False,False,False,True,True,False,False,False,False
GLUE0027,NC(=O)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ULVUJSPYZSBISK-UHFFFAOYSA-N,acetamide,*C(N)=O,344.33,-0.74,138.7,3,5,4,1,0.312,0.488,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0028,NC(=O)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,CYSNKDVWKWEYOC-UHFFFAOYSA-N,urea,*C(N)=O,345.32,-0.35,150.7,4,5,2,1,0.267,0.54,5.0,3.0,4.0,True,False,False,False,True,True,False,False,False,False
GLUE0029,NC(=O)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,IATJAIBHRLXJHV-UHFFFAOYSA-N,carbamate,*C(N)=O,346.3,0.07,147.9,3,6,2,1,0.267,0.51,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0030,O=C1CCC(N2Cc3cccc(NC(=O)C4CC4)c3C2=O)C(=O)N1,XRVLKCAGNMYMOG-UHFFFAOYSA-N,amide,*C1CC1,327.34,0.8,95.6,2,4,3,1,0.412,0.803,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0031,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C4CC4)c3C2=O)C(=O)N1,YDQMTTYPWAWWLV-UHFFFAOYSA-N,sulfonamide,*C1CC1,363.4,0.35,112.7,2,5,4,1,0.438,0.75,5.0,3.5,4.72,True,False,False,False,True,True,True,True,False,False
GLUE0032,O=C1CCC(N2Cc3cccc(NC(=O)CC4CC4)c3C2=O)C(=O)N1,KACGGMYTKFNZAD-UHFFFAOYSA-N,acetamide,*C1CC1,341.37,1.19,95.6,2,4,4,1,0.444,0.804,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0033,O=C1CCC(N2Cc3cccc(NC(=O)NC4CC4)c3C2=O)C(=O)N1,VZGGIIFGOKBKGV-UHFFFAOYSA-N,urea,*C1CC1,342.36,0.73,107.6,3,4,3,1,0.412,0.704,5.0,4.0,4.58,True,False,False,True,True,True,True,True,False,False
GLUE0034,O=C1CCC(N2Cc3cccc(NC(=O)OC4CC4)c3C2=O)C(=O)N1,CAUIVIMUVSCOEJ-UHFFFAOYSA-N,carbamate,*C1CC1,343.34,1.16,104.8,2,5,3,1,0.412,0.801,5.0,4.0,5.01,True,False,False,True,True,True,True,True,False,False
GLUE0035,CCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,AJAHJTDFOAUUTE-UHFFFAOYSA-N,amide,*CCC,329.36,1.19,95.6,2,4,4,1,0.412,0.811,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0036,CCCS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WLLWOGCPHZUDIN-UHFFFAOYSA-N,sulfonamide,*CCC,365.41,0.6,112.7,2,5,5,1,0.438,0.742,5.0,3.5,4.71,True,False,False,False,True,True,True,True,False,False
GLUE0037,CCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,PBBPHIJMUFFJMD-UHFFFAOYSA-N,acetamide,*CCC,343.38,1.58,95.6,2,4,5,1,0.444,0.794,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0038,CCCNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QKQOQLHOMBNJJB-UHFFFAOYSA-N,urea,*CCC,344.37,0.98,107.6,3,4,4,1,0.412,0.708,5.0,4.0,4.58,True,False,False,True,True,True,True,True,False,False
GLUE0039,CCCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ONMYHYCWJLHOGQ-UHFFFAOYSA-N,carbamate,*CCC,345.36,1.41,104.8,2,5,4,1,0.412,0.803,5.0,4.0,5.01,True,False,False,True,True,True,True,True,False,False
GLUE0040,O=C1CCC(N2Cc3cccc(NC(=O)C(F)(F)F)c3C2=O)C(=O)N1,XPQMZIVHTWRAHO-UHFFFAOYSA-N,amide,*C(F)(F)F,355.27,0.95,95.6,2,4,2,1,0.333,0.772,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0041,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C(F)(F)F)c3C2=O)C(=O)N1,IYMJNHZVLWNIQG-UHFFFAOYSA-N,sulfonamide,*C(F)(F)F,391.33,0.71,112.7,2,5,3,1,0.357,0.737,5.0,3.5,4.52,True,False,False,False,True,True,True,True,False,False
GLUE0042,O=C1CCC(N2Cc3cccc(NC(=O)CC(F)(F)F)c3C2=O)C(=O)N1,YMTDLXHPAMICKG-UHFFFAOYSA-N,acetamide,*C(F)(F)F,369.3,1.34,95.6,2,4,3,1,0.375,0.786,5.0,3.5,5.25,True,False,False,False,True,True,True,True,False,False
GLUE0043,O=C1CCC(N2Cc3cccc(NC(=O)NC(F)(F)F)c3C2=O)C(=O)N1,OPIJNCBLLHFTQH-UHFFFAOYSA-N,urea,*C(F)(F)F,370.29,1.09,107.6,3,4,2,1,0.333,0.535,5.0,3.5,4.51,True,False,False,False,True,True,True,True,False,False
GLUE0044,O=C1CCC(N2Cc3cccc(NC(=O)OC(F)(F)F)c3C2=O)C(=O)N1,WWBPLOLKBPDQAU-UHFFFAOYSA-N,carbamate,*C(F)(F)F,371.27,1.52,104.8,2,5,2,1,0.333,0.767,5.0,3.5,4.93,True,False,False,False,True,True,True,True,False,False
GLUE0045,O=C(O)CS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,FMQOUJRFGHXALR-UHFFFAOYSA-N,sulfonamide,*CC(=O)O,381.37,-0.73,149.9,3,6,5,1,0.333,0.569,5.0,3.0,4.01,True,False,False,False,True,True,False,False,False,False
GLUE0046,O=C(O)CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,XWURTPFNKLLKQL-UHFFFAOYSA-N,acetamide,*CC(=O)O,359.34,0.25,132.9,3,5,5,1,0.353,0.646,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0047,O=C(O)CNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MVCHGDFKABEZIS-UHFFFAOYSA-N,urea,*CC(=O)O,360.33,-0.35,144.9,4,5,4,1,0.312,0.54,5.0,2.5,4.0,True,False,False,False,True,True,False,False,False,False
GLUE0048,O=C(O)COC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DJFBIOLQDUGMOL-UHFFFAOYSA-N,carbamate,*CC(=O)O,361.31,0.08,142.1,3,6,4,1,0.312,0.645,5.0,3.0,4.16,True,False,False,False,True,True,False,False,False,False
GLUE0049,O=C1CCC(N2Cc3cccc(NC(=O)CCO)c3C2=O)C(=O)N1,SFSWGYHQQRHSHQ-UHFFFAOYSA-N,amide,*CCO,331.33,-0.23,115.8,3,5,4,1,0.375,0.659,5.0,4.0,4.31,True,False,False,True,True,True,True,True,False,False
GLUE0050,O=C1CCC(N2Cc3cccc(NS(=O)(=O)CCO)c3C2=O)C(=O)N1,JQVIQXLKIPERKQ-UHFFFAOYSA-N,sulfonamide,*CCO,367.38,-0.82,132.9,3,6,5,1,0.4,0.583,5.0,3.0,4.11,True,False,False,False,True,True,False,False,False,False
GLUE0051,O=C1CCC(N2Cc3cccc(NC(=O)CCCO)c3C2=O)C(=O)N1,OXYGKXUDTBTIFX-UHFFFAOYSA-N,acetamide,*CCO,345.36,0.16,115.8,3,5,5,1,0.412,0.658,5.0,4.0,4.31,True,False,False,True,True,True,True,True,False,False
GLUE0052,O=C1CCC(N2Cc3cccc(NC(=O)NCCO)c3C2=O)C(=O)N1,XWLUKSMFRTXODV-UHFFFAOYSA-N,urea,*CCO,346.34,-0.44,127.8,4,5,4,1,0.375,0.55,5.0,3.0,4.0,True,False,False,False,True,True,False,False,False,False
GLUE0053,O=C1CCC(N2Cc3cccc(NC(=O)OCCO)c3C2=O)C(=O)N1,SJGDRQCIOZRJTO-UHFFFAOYSA-N,carbamate,*CCO,347.33,-0.01,125.0,3,6,4,1,0.375,0.658,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0054,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(F)cc4)c3C2=O)C(=O)N1,IPFUISUQZIVBPV-UHFFFAOYSA-N,amide,*c1ccc(F)cc1,381.36,1.84,95.6,2,4,3,2,0.2,0.793,5.0,3.5,5.16,True,False,False,False,True,True,True,True,False,False
GLUE0055,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccc(F)cc4)c3C2=O)C(=O)N1,XNKTXQMFQAJJKG-UHFFFAOYSA-N,sulfonamide,*c1ccc(F)cc1,417.42,1.39,112.7,2,5,4,2,0.211,0.73,5.0,3.5,4.33,True,False,False,False,True,True,True,True,False,False
GLUE0056,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(F)cc4)c3C2=O)C(=O)N1,HPSBMAKEMDXOOW-UHFFFAOYSA-N,acetamide,*c1ccc(F)cc1,395.39,1.77,95.6,2,4,4,2,0.238,0.772,5.0,3.5,5.06,True,False,False,False,True,True,True,True,False,False
GLUE0057,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(F)cc4)c3C2=O)C(=O)N1,HUMJHMHDGNZTPS-UHFFFAOYSA-N,urea,*c1ccc(F)cc1,396.38,2.23,107.6,3,4,3,2,0.2,0.692,5.0,3.5,4.32,True,True,False,False,True,True,True,True,False,True
GLUE0058,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(F)cc4)c3C2=O)C(=O)N1,FWWNKAYVTGWVPQ-UHFFFAOYSA-N,carbamate,*c1ccc(F)cc1,397.36,2.2,104.8,2,5,3,2,0.2,0.773,5.0,3.5,4.74,True,True,False,False,True,True,True,True,False,True
GLUE0059,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(Cl)cc4)c3C2=O)C(=O)N1,UXUHUTKSXUFTJS-UHFFFAOYSA-N,amide,*c1ccc(Cl)cc1,397.82,2.35,95.6,2,4,3,2,0.2,0.777,5.0,3.5,5.04,True,True,False,False,True,True,True,True,False,True
GLUE0060,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccc(Cl)cc4)c3C2=O)C(=O)N1,PYYILSUZKOQERK-UHFFFAOYSA-N,sulfonamide,*c1ccc(Cl)cc1,433.87,1.9,112.7,2,5,4,2,0.211,0.715,5.0,3.5,4.22,True,False,False,False,True,True,True,True,False,False
GLUE0061,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(Cl)cc4)c3C2=O)C(=O)N1,VEDQKUBABANVIS-UHFFFAOYSA-N,acetamide,*c1ccc(Cl)cc1,411.85,2.28,95.6,2,4,4,2,0.238,0.754,5.0,3.5,4.94,True,True,False,False,True,True,True,True,False,True
GLUE0062,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(Cl)cc4)c3C2=O)C(=O)N1,BDRAXWFDYORIRW-UHFFFAOYSA-N,urea,*c1ccc(Cl)cc1,412.83,2.75,107.6,3,4,3,2,0.2,0.673,5.0,3.5,4.08,True,True,False,False,True,True,True,True,False,True
GLUE0063,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(Cl)cc4)c3C2=O)C(=O)N1,UZTBNYPNRHEOSL-UHFFFAOYSA-N,carbamate,*c1ccc(Cl)cc1,413.82,2.71,104.8,2,5,3,2,0.2,0.753,5.0,3.5,4.52,True,True,False,False,True,True,True,True,False,True
GLUE0064,CC(C)(C)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WSIADALFJLZHPD-UHFFFAOYSA-N,amide,*C(C)(C)C,343.38,1.43,95.6,2,4,2,1,0.444,0.794,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0065,CC(C)(C)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QCWVOGUNQPFGFN-UHFFFAOYSA-N,sulfonamide,*C(C)(C)C,379.44,0.99,112.7,2,5,3,1,0.471,0.761,5.0,3.5,4.61,True,False,False,False,True,True,True,True,False,False
GLUE0066,CC(C)(C)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,NNFCJLKMERWMCC-UHFFFAOYSA-N,acetamide,*C(C)(C)C,357.41,1.82,95.6,2,4,3,1,0.474,0.807,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0067,CC(C)(C)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,VFWXYOCUQHIVAV-UHFFFAOYSA-N,urea,*C(C)(C)C,358.4,1.37,107.6,3,4,2,1,0.444,0.694,5.0,4.0,4.58,True,False,False,True,True,True,True,True,False,False
GLUE0068,CC(C)(C)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,IAVXNCOAUQZCIP-UHFFFAOYSA-N,carbamate,*C(C)(C)C,359.38,1.79,104.8,2,5,2,1,0.444,0.784,5.0,4.0,5.01,True,False,False,True,True,True,True,True,False,False
GLUE0069,C=CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WRGVDFAJLKAFOM-UHFFFAOYSA-N,amide,*CC=C,327.34,0.96,95.6,2,4,4,1,0.294,0.636,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0070,C=CCS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RXWNBUNURWQNFA-UHFFFAOYSA-N,sulfonamide,*CC=C,363.4,0.38,112.7,2,5,5,1,0.312,0.58,5.0,3.5,4.72,True,False,False,False,True,True,True,True,False,False
GLUE0071,C=CCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QZXNRNXLOMKUPH-UHFFFAOYSA-N,acetamide,*CC=C,341.37,1.35,95.6,2,4,5,1,0.333,0.624,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0072,C=CCNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MTNLRXUXFOQFOC-UHFFFAOYSA-N,urea,*CC=C,342.36,0.76,107.6,3,4,4,1,0.294,0.554,5.0,4.0,4.58,True,False,False,True,True,True,True,True,False,False
GLUE0073,C=CCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,SADLRMDTQMXERB-UHFFFAOYSA-N,carbamate,*CC=C,343.34,1.18,104.8,2,5,4,1,0.294,0.631,5.0,4.0,5.01,True,False,False,True,True,True,True,True,False,False
GLUE0074,CCCCS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,LOVGMAWUNXRAFH-UHFFFAOYSA-N,sulfonamide,*CCCC,379.44,0.99,112.7,2,5,6,1,0.471,0.716,5.0,3.5,4.61,True,False,False,False,True,True,True,True,False,False
GLUE0075,CCCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,LPVPMVFCCBRSRU-UHFFFAOYSA-N,acetamide,*CCCC,357.41,1.97,95.6,2,4,6,1,0.474,0.601,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0076,CCCCNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MPKPQEPFFBNDNF-UHFFFAOYSA-N,urea,*CCCC,358.4,1.37,107.6,3,4,5,1,0.444,0.546,5.0,4.0,4.58,True,False,False,True,True,True,True,True,False,False
GLUE0077,CCCCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DIDXPRVKKIPQJJ-UHFFFAOYSA-N,carbamate,*CCCC,359.38,1.8,104.8,2,5,5,1,0.444,0.616,5.0,4.0,5.01,True,False,False,True,True,True,True,True,False,False
GLUE0078,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(O)cc4)c3C2=O)C(=O)N1,LRZPUFSMDURFMH-UHFFFAOYSA-N,amide,*c1ccc(O)cc1,379.37,1.41,115.8,3,5,3,2,0.2,0.698,5.0,3.5,4.17,True,False,False,False,True,True,True,True,False,False
GLUE0079,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccc(O)cc4)c3C2=O)C(=O)N1,DRDYZVYAJYBIHO-UHFFFAOYSA-N,sulfonamide,*c1ccc(O)cc1,415.43,0.95,132.9,3,6,4,2,0.211,0.637,5.0,3.0,3.77,True,False,False,False,True,True,False,False,False,False
GLUE0080,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(O)cc4)c3C2=O)C(=O)N1,AWMOLUJWYZIAQM-UHFFFAOYSA-N,acetamide,*c1ccc(O)cc1,393.4,1.33,115.8,3,5,4,2,0.238,0.678,5.0,3.5,4.07,True,False,False,False,True,True,True,True,False,False
GLUE0081,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(O)cc4)c3C2=O)C(=O)N1,XKQIOMNTLHSMRO-UHFFFAOYSA-N,urea,*c1ccc(O)cc1,394.39,1.8,127.8,4,5,3,2,0.2,0.466,5.0,2.5,3.75,True,False,False,False,True,True,False,False,False,False
GLUE0082,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(O)cc4)c3C2=O)C(=O)N1,SRLSNUQKGDNGPE-UHFFFAOYSA-N,carbamate,*c1ccc(O)cc1,395.37,1.76,125.0,3,6,3,2,0.2,0.68,5.0,3.0,3.91,True,False,False,False,True,True,False,False,False,False
GLUE0083,O=C1CCC(N2Cc3cccc(NC(=O)C(=O)[O-])c3C2=O)C(=O)N1,LIAFGXHOAUPIAN-UHFFFAOYSA-M,amide,*C(=O)[O-],330.28,-1.86,135.7,2,6,2,1,0.267,0.482,5.0,3.5,4.5,True,False,False,False,True,True,False,True,False,False
GLUE0084,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C(=O)[O-])c3C2=O)C(=O)N1,CCVLEXMIWQVVNE-UHFFFAOYSA-M,sulfonamide,*C(=O)[O-],366.33,-1.47,152.8,2,7,3,1,0.286,0.619,5.0,3.0,4.45,True,False,False,False,True,True,False,False,False,False
GLUE0085,O=C([O-])CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,KPRUHHNMRFOJDZ-UHFFFAOYSA-M,acetamide,*C(=O)[O-],344.3,-1.47,135.7,2,6,4,1,0.312,0.505,5.0,3.5,4.5,True,False,False,False,True,True,False,True,False,False
