glue_id,smiles,inchikey,linker,source_fragment,mw
GLUE0060,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccc(Cl)cc4)c3C2=O)C(=O)N1,PYYILSUZKOQERK-UHFFFAOYSA-N,sulfonamide,*c1ccc(Cl)cc1,433.87
GLUE0061,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(Cl)cc4)c3C2=O)C(=O)N1,VEDQKUBABANVIS-UHFFFAOYSA-N,acetamide,*c1ccc(Cl)cc1,411.85
GLUE0062,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(Cl)cc4)c3C2=O)C(=O)N1,BDRAXWFDYORIRW-UHFFFAOYSA-N,urea,*c1ccc(Cl)cc1,412.83
GLUE0063,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(Cl)cc4)c3C2=O)C(=O)N1,UZTBNYPNRHEOSL-UHFFFAOYSA-N,carbamate,*c1ccc(Cl)cc1,413.82
GLUE0064,CC(C)(C)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WSIADALFJLZHPD-UHFFFAOYSA-N,amide,*C(C)(C)C,343.38
GLUE0065,CC(C)(C)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QCWVOGUNQPFGFN-UHFFFAOYSA-N,sulfonamide,*C(C)(C)C,379.44
GLUE0066,CC(C)(C)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,NNFCJLKMERWMCC-UHFFFAOYSA-N,acetamide,*C(C)(C)C,357.41
GLUE0067,CC(C)(C)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,VFWXYOCUQHIVAV-UHFFFAOYSA-N,urea,*C(C)(C)C,358.4
GLUE0068,CC(C)(C)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,IAVXNCOAUQZCIP-UHFFFAOYSA-N,carbamate,*C(C)(C)C,359.38
GLUE0069,C=CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WRGVDFAJLKAFOM-UHFFFAOYSA-N,amide,*CC=C,327.34
GLUE0070,C=CCS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RXWNBUNURWQNFA-UHFFFAOYSA-N,sulfonamide,*CC=C,363.4
GLUE0071,C=CCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QZXNRNXLOMKUPH-UHFFFAOYSA-N,acetamide,*CC=C,341.37
GLUE0072,C=CCNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MTNLRXUXFOQFOC-UHFFFAOYSA-N,urea,*CC=C,342.36
GLUE0073,C=CCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,SADLRMDTQMXERB-UHFFFAOYSA-N,carbamate,*CC=C,343.34
GLUE0074,CCCCS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,LOVGMAWUNXRAFH-UHFFFAOYSA-N,sulfonamide,*CCCC,379.44
GLUE0075,CCCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,LPVPMVFCCBRSRU-UHFFFAOYSA-N,acetamide,*CCCC,357.41
GLUE0076,CCCCNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MPKPQEPFFBNDNF-UHFFFAOYSA-N,urea,*CCCC,358.4
GLUE0077,CCCCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DIDXPRVKKIPQJJ-UHFFFAOYSA-N,carbamate,*CCCC,359.38
GLUE0078,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(O)cc4)c3C2=O)C(=O)N1,LRZPUFSMDURFMH-UHFFFAOYSA-N,amide,*c1ccc(O)cc1,379.37
GLUE0079,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccc(O)cc4)c3C2=O)C(=O)N1,DRDYZVYAJYBIHO-UHFFFAOYSA-N,sulfonamide,*c1ccc(O)cc1,415.43
GLUE0080,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(O)cc4)c3C2=O)C(=O)N1,AWMOLUJWYZIAQM-UHFFFAOYSA-N,acetamide,*c1ccc(O)cc1,393.4
GLUE0081,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(O)cc4)c3C2=O)C(=O)N1,XKQIOMNTLHSMRO-UHFFFAOYSA-N,urea,*c1ccc(O)cc1,394.39
GLUE0082,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(O)cc4)c3C2=O)C(=O)N1,SRLSNUQKGDNGPE-UHFFFAOYSA-N,carbamate,*c1ccc(O)cc1,395.37
GLUE0083,O=C1CCC(N2Cc3cccc(NC(=O)C(=O)[O-])c3C2=O)C(=O)N1,LIAFGXHOAUPIAN-UHFFFAOYSA-M,amide,*C(=O)[O-],330.28
GLUE0084,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C(=O)[O-])c3C2=O)C(=O)N1,CCVLEXMIWQVVNE-UHFFFAOYSA-M,sulfonamide,*C(=O)[O-],366.33
GLUE0085,O=C([O-])CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,KPRUHHNMRFOJDZ-UHFFFAOYSA-M,acetamide,*C(=O)[O-],344.3
GLUE0086,O=C([O-])NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RPSJQKNYIJPUSD-UHFFFAOYSA-M,urea,*C(=O)[O-],345.29
GLUE0087,O=C1CCC(N2Cc3cccc(NC(=O)OC(=O)[O-])c3C2=O)C(=O)N1,CXDKFIQZXOTBBF-UHFFFAOYSA-M,carbamate,*C(=O)[O-],346.28
GLUE0088,O=C1CCC(N2Cc3cccc(NC(=O)C4CCCCC4)c3C2=O)C(=O)N1,IDQUZTHKJXVVSW-UHFFFAOYSA-N,amide,*C1CCCCC1,369.42
GLUE0089,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C4CCCCC4)c3C2=O)C(=O)N1,XHEJMCNMPPGXEP-UHFFFAOYSA-N,sulfonamide,*C1CCCCC1,405.48
GLUE0090,O=C1CCC(N2Cc3cccc(NC(=O)CC4CCCCC4)c3C2=O)C(=O)N1,NQXCVFZPCRIZJT-UHFFFAOYSA-N,acetamide,*C1CCCCC1,383.45
GLUE0091,O=C1CCC(N2Cc3cccc(NC(=O)NC4CCCCC4)c3C2=O)C(=O)N1,YEDSCESARQXMDS-UHFFFAOYSA-N,urea,*C1CCCCC1,384.44
GLUE0092,O=C1CCC(N2Cc3cccc(NC(=O)OC4CCCCC4)c3C2=O)C(=O)N1,WNIJKCNXYPGNHJ-UHFFFAOYSA-N,carbamate,*C1CCCCC1,385.42
GLUE0093,Nc1ccc(S(=O)(=O)C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,PUKRLIFPGTZCIS-UHFFFAOYSA-N,amide,*S(=O)(=O)c1ccc(N)cc1,442.45
GLUE0094,Nc1ccc(S(=O)(=O)S(=O)(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,NXNYNOYBFPFRLU-UHFFFAOYSA-N,sulfonamide,*S(=O)(=O)c1ccc(N)cc1,478.51
GLUE0095,Nc1ccc(S(=O)(=O)CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,QSGXPDOXJCGMLE-UHFFFAOYSA-N,acetamide,*S(=O)(=O)c1ccc(N)cc1,456.48
GLUE0096,Nc1ccc(S(=O)(=O)NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,JFSKORDZXYDZKA-UHFFFAOYSA-N,urea,*S(=O)(=O)c1ccc(N)cc1,457.47
GLUE0097,Nc1ccc(S(=O)(=O)OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,IQRXVVQEODSYIS-UHFFFAOYSA-N,carbamate,*S(=O)(=O)c1ccc(N)cc1,458.45
GLUE0098,O=C1CCC(N2Cc3cccc(NC(=O)N4CCOCC4)c3C2=O)C(=O)N1,WVJKGYUPPXYAGX-UHFFFAOYSA-N,amide,*N1CCOCC1,372.38
GLUE0099,O=C1CCC(N2Cc3cccc(NS(=O)(=O)N4CCOCC4)c3C2=O)C(=O)N1,NDKPSQPLIFYMJN-UHFFFAOYSA-N,sulfonamide,*N1CCOCC1,408.44
GLUE0100,O=C1CCC(N2Cc3cccc(NC(=O)CN4CCOCC4)c3C2=O)C(=O)N1,FVTNJTTUHALXRF-UHFFFAOYSA-N,acetamide,*N1CCOCC1,386.41
GLUE0101,O=C1CCC(N2Cc3cccc(NC(=O)NN4CCOCC4)c3C2=O)C(=O)N1,IWAUWLHXOAQPSD-UHFFFAOYSA-N,urea,*N1CCOCC1,387.4
GLUE0102,O=C1CCC(N2Cc3cccc(NC(=O)ON4CCOCC4)c3C2=O)C(=O)N1,DIANTYNBBSQQTL-UHFFFAOYSA-N,carbamate,*N1CCOCC1,388.38
GLUE0103,Cc1cccc(C)c1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,KJZZLYOJYUQAAR-UHFFFAOYSA-N,amide,*c1c(C)cccc1C,391.43
GLUE0104,Cc1cccc(C)c1S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,NOTHXOCEAYJDFU-UHFFFAOYSA-N,sulfonamide,*c1c(C)cccc1C,427.48
GLUE0105,Cc1cccc(C)c1CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DVAOLKJTLGCURF-UHFFFAOYSA-N,acetamide,*c1c(C)cccc1C,405.45
GLUE0106,Cc1cccc(C)c1NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DZSKQPOPLKZDRW-UHFFFAOYSA-N,urea,*c1c(C)cccc1C,406.44
GLUE0107,Cc1cccc(C)c1OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RMLCRDLSJREKKD-UHFFFAOYSA-N,carbamate,*c1c(C)cccc1C,407.43
GLUE0108,O=C1CCC(N2Cc3cccc(NC(=O)C(=O)CO)c3C2=O)C(=O)N1,SXSAXLMAWMOCGX-UHFFFAOYSA-N,amide,*C(=O)CO,345.31
GLUE0109,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C(=O)CO)c3C2=O)C(=O)N1,JPABXAFVGXBXBN-UHFFFAOYSA-N,sulfonamide,*C(=O)CO,381.37
GLUE0110,O=C(CO)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DWTUVHSWWBORDL-UHFFFAOYSA-N,acetamide,*C(=O)CO,359.34
GLUE0111,O=C(CO)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,CTGZMMSJFVJMMK-UHFFFAOYSA-N,urea,*C(=O)CO,360.33
GLUE0112,O=C1CCC(N2Cc3cccc(NC(=O)OC(=O)CO)c3C2=O)C(=O)N1,YLYAPHSXCFOZOG-UHFFFAOYSA-N,carbamate,*C(=O)CO,361.31
GLUE0113,CCC(=O)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,LUUYZVVYJDOKOX-UHFFFAOYSA-N,amide,*C(=O)CC,343.34
GLUE0114,CCC(=O)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,JXPOAYXPKIRCCB-UHFFFAOYSA-N,sulfonamide,*C(=O)CC,379.39
GLUE0115,CCC(=O)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RLZOCHCHRFXKKY-UHFFFAOYSA-N,acetamide,*C(=O)CC,357.37
GLUE0116,CCC(=O)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,OXYACFMSXYCQIK-UHFFFAOYSA-N,urea,*C(=O)CC,358.35
GLUE0117,CCC(=O)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RBWDKXDUEYIGPQ-UHFFFAOYSA-N,carbamate,*C(=O)CC,359.34
GLUE0118,NCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,OUXJPWQIQUQSHW-UHFFFAOYSA-N,amide,*CCN,330.34
GLUE0119,NCCS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MREQUQLLRIVJCJ-UHFFFAOYSA-N,sulfonamide,*CCN,366.4
GLUE0120,NCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QUJFFEHVVRWHBH-UHFFFAOYSA-N,acetamide,*CCN,344.37
GLUE0121,NCCNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,OAASMXLGCQXMIB-UHFFFAOYSA-N,urea,*CCN,345.36
GLUE0122,NCCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,UTFUPMYTWPKRND-UHFFFAOYSA-N,carbamate,*CCN,346.34
GLUE0123,O=C1CCC(N2Cc3cccc(NC(=O)c4ccccc4Cl)c3C2=O)C(=O)N1,NXKHBGRBKTUBQW-UHFFFAOYSA-N,amide,*c1ccccc1Cl,397.82
GLUE0124,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccccc4Cl)c3C2=O)C(=O)N1,MCTKABDQCKVAJG-UHFFFAOYSA-N,sulfonamide,*c1ccccc1Cl,433.87
GLUE0125,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccccc4Cl)c3C2=O)C(=O)N1,PIIDRGQNTSBBNV-UHFFFAOYSA-N,acetamide,*c1ccccc1Cl,411.85
GLUE0126,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccccc4Cl)c3C2=O)C(=O)N1,HZCMJGNLZOFTHX-UHFFFAOYSA-N,urea,*c1ccccc1Cl,412.83
GLUE0127,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4Cl)c3C2=O)C(=O)N1,QLHIIYHOEWEIQR-UHFFFAOYSA-N,carbamate,*c1ccccc1Cl,413.82
GLUE0128,CC(C)CS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,VITYBGKVDPEOQW-UHFFFAOYSA-N,sulfonamide,*CC(C)C,379.44
GLUE0129,CC(C)CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,NXBLIRQEOZFTEB-UHFFFAOYSA-N,acetamide,*CC(C)C,357.41
GLUE0130,CC(C)CNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,PWZMJPMLPLYHJW-UHFFFAOYSA-N,urea,*CC(C)C,358.4
GLUE0131,CC(C)COC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,VHFOEEHILUFOQR-UHFFFAOYSA-N,carbamate,*CC(C)C,359.38
GLUE0132,O=C1CCC(N2Cc3cccc(NC(=O)N4CCCCC4)c3C2=O)C(=O)N1,GEOJWLIVQRPWFS-UHFFFAOYSA-N,amide,*N1CCCCC1,370.41
GLUE0133,O=C1CCC(N2Cc3cccc(NS(=O)(=O)N4CCCCC4)c3C2=O)C(=O)N1,CVUFOZPEIVSXPX-UHFFFAOYSA-N,sulfonamide,*N1CCCCC1,406.46
GLUE0134,O=C1CCC(N2Cc3cccc(NC(=O)CN4CCCCC4)c3C2=O)C(=O)N1,FIEBRTRGZMXTJK-UHFFFAOYSA-N,acetamide,*N1CCCCC1,384.44
GLUE0135,O=C1CCC(N2Cc3cccc(NC(=O)NN4CCCCC4)c3C2=O)C(=O)N1,MRVIPASUVLPWFV-UHFFFAOYSA-N,urea,*N1CCCCC1,385.42
