smiles,mw,n_source_occurrences,ring_count,n_heavy
*C1CCCCN1,84.14,7,1,6
*c1cccc(Cl)c1,111.55,7,1,7
*n1ccc(N)nc1=O,110.1,7,1,8
*C1CCC1,55.1,6,1,4
*n1cncn1,68.06,6,1,5
*C1CNCCO1,86.11,6,1,6
*CCCC(=O)O,87.1,6,0,6
*OP(=O)(O)O,96.99,6,0,5
*SC,47.1,6,0,2
*c1c[nH]cn1,67.07,6,1,5
*C1CCCCN1C,98.17,6,1,7
*N1CCC[C@@H](N)C1,99.16,5,1,7
*n1cnc2c(=O)[nH]c(N)nc21,150.12,5,2,11
*C1SC(=O)NC1=O,116.12,5,1,7
*OS(=O)(=O)O,97.07,5,0,5
*c1cccc(F)c1,95.1,5,1,7
*c1cc(F)c(F)cc1F,131.08,5,1,9
*C(=O)CCC,71.1,5,0,5
*c1c(F)cc(F)cc1F,131.08,5,1,9
*c1ccc(C)cc1C,105.16,5,1,8
*c1nsc2ccccc12,134.18,5,2,9
*c1cc(O)cc(O)c1,109.1,5,1,8
*c1cnc(N)nc1N,109.11,5,1,8
*C1CC2C=CC1C2,93.15,5,2,7
*c1ccccc1F,95.1,5,1,7
*c1c[nH]c2ccccc12,116.14,5,2,9
*c1ccc(Br)cc1,156.0,5,1,7
*c1cc[nH]n1,67.07,4,1,5
*c1nnn[nH]1,69.05,4,1,5
*[C@H](C)C(=O)O,73.07,4,0,5
*NC(=N)NC(=N)N,100.11,4,0,7
*C(=O)C#CC,67.07,4,0,5
*c1ccc(S(N)(=O)=O)cc1,156.19,4,1,10
*N1CC[C@@H](O)C1,86.11,4,1,6
*c1nc[nH]c1C,81.1,4,1,6
*C1CCCO1,71.1,4,1,5
*CC(=O)NO,74.06,4,0,5
*c1ccc(N)cc1O,108.12,4,1,8
*C(C)CC,57.12,4,0,4
*C(O)C(C)N,74.1,4,0,5
*CCCCC(=O)O,101.12,4,0,7
*C(=O)/C(=N\OC)c1csc(N)n1,184.2,4,1,12
*CCC(=O)O,73.07,4,0,5
*C[C@H](C)N,58.1,4,0,4
*CC(O)(P(=O)(O)O)P(=O)(O)O,205.02,4,0,11
*C1CCC(=O)NC1=O,112.11,4,1,8
*c1ccc(C(=N)N)cc1,119.15,4,1,9
*c1ccc(C#N)cc1,102.12,4,1,8
*[C@@H](C)O,45.06,4,0,3
*c1nc2ccccc2[nH]1,117.13,4,2,9
*c1cn(C)c2ccccc12,130.17,4,2,10
*NC=O,44.03,4,0,3
*c1cc(C)on1,82.08,4,1,6
*C(=O)CCC(=O)CN,114.12,4,0,8
*c1cccc(C)c1C,105.16,4,1,8
*[C@@H](C)C(N)=O,72.09,4,0,5
*C(=O)CN,58.06,4,0,4
*n1nccn1,68.06,4,1,5
*[C@@H](CC)C(N)=O,86.11,4,0,6
*N[C@@H]1CCc2ccccc21,132.19,4,2,10
*CC(O)CO,75.09,4,0,5
*CC(C)(C)N,72.13,4,0,5
*c1noc2cc(F)ccc12,136.1,4,2,10
*C(=O)C(C)(C)C,85.13,4,0,6
*c1cc2c(cc1Cl)NC(=O)C2,166.59,4,2,11
*c1c[nH]c2ccc(C#N)cc12,141.15,3,2,11
*C1CCNCC1,84.14,3,1,6
*[C@@H](O)[C@H](C)N,74.1,3,0,5
*CCS(=O)(=O)c1ccccc1,169.22,3,1,11
*c1cccc2c1CC(=O)N2,132.14,3,2,10
*[C@@H](CCC(=O)O)C(=O)O,131.11,3,0,9
*[C@H]1CCc2nc(N)sc2C1,153.23,3,2,10
*[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,221.21,3,2,14
*c1cccc(C)c1,91.13,3,1,7
*n1cc(C)c(=O)[nH]c1=O,125.11,3,1,9
*C(C)C1=NCCN1,97.14,3,1,7
*C(=O)CCC(=O)O,101.08,3,0,7
*CC[C@@H](O)CCCCC,129.22,3,0,9
*C(=O)CCl,77.49,3,0,4
*CCCCCC,85.17,3,0,6
*n1cnc2c(=O)nc(N)[nH]c21,150.12,3,2,11
*[C@H]1C[C@H]2CC[C@@H](C1)N2C,124.21,3,2,9
*c1ccc(Cl)cn1,112.54,3,1,7
*C[C@@H](O)C[C@@H](O)CC(=O)[O-],146.14,3,0,10
*[C@H]1CCOC1,71.1,3,1,5
*n1cnc2c(N)ncnc21,134.12,3,2,10
*c1cc(F)ccc1F,113.09,3,1,8
*c1ccco1,67.07,3,1,5
*c1nc2c(C)c(Cl)ccc2[nH]1,165.6,3,2,11
*C(C)C(=O)[O-],72.06,3,0,5
*C(=O)[C@@H](N)CCCCN,129.18,3,0,9
*CC(Cl)(Cl)Cl,132.4,3,0,5
*C(C)C#CCC,81.14,3,0,6
*c1ccc(N)cc1Cl,126.57,3,1,8
*n1cnc2c([O-])nc(N)nc21,149.11,3,2,11
*c1ccccc1C#N,102.12,3,1,8
*[C@H]1CCCCN1,84.14,3,1,6
*S(=O)(=O)c1ccc(C)cc1,155.2,3,1,10
*[C@H](C)CCC(=O)O,101.12,3,0,7
*c1ccc(F)c(Cl)c1,129.54,3,1,8
*c1cnc(C)nc1N,108.12,3,1,8
*CCC(C)C,71.14,3,0,5
*CC(C)O,59.09,3,0,4
*O/N=C(\Cl)c1ccc[n+]([O-])c1,171.56,3,1,11
*[C@H]1CCCN1C,84.14,3,1,6
*n1ccnc1,67.07,3,1,5
*[C@](C)(O)C(C)(C)C,101.17,3,0,7
*CCCCC,71.14,3,0,5
*C1CC[N+](C)(C)C1,99.18,3,1,7
*c1c(O)c2ccccc2oc1=O,161.14,3,2,12
*CC(C)(C)C,71.14,2,0,5
*CCNN,59.09,2,0,4
*CCCCCCCC,113.22,2,0,8
*OS(=O)(=O)[O-],96.06,2,0,5
*c1cc(F)ccc1C#N,120.11,2,1,9
*CCC(N)(CO)CO,118.16,2,0,8
*C(CCC(CC)CCCC)CC(C)C,197.39,2,0,14
*c1c(C)[nH]c2ccccc12,130.17,2,2,10
*c1c(Cl)ccc2nsnc12,169.62,2,2,10
*C1COC2(CCCCC2)O1,141.19,2,2,10
*[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,139.24,2,2,10
*[C@H]1CCc2cc(F)cc(F)c2C1,167.18,2,2,12
*c1ccc(O)c2[nH]c(=O)ccc12,160.15,2,2,12
*c1cc(O)cc2c1OCC(=O)N2,164.14,2,2,12
*[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,218.23,2,2,16
*c1cccc2c1CCC(=O)N2,146.17,2,2,11
*c1ccc2nccnc2c1Br,208.04,2,2,11
*N1Cc2c(N)cccc2C1=O,147.16,2,2,11
*c1ccc2[nH]ncc2c1,117.13,2,2,9
*[C@@H]1CCCNC1,84.14,2,1,6
*C(=O)C(C)N,72.09,2,0,5
*c1nc2ccc(O)cc2s1,150.18,2,2,10
*c1nnn[n-]1,68.04,2,1,5
*c1nc(Cl)c(N)nc1N,143.56,2,1,9
*C(C)N,44.08,2,0,3
*c1ccc2c(C)n(C)nc2c1,145.19,2,2,11
*C(C)O,45.06,2,0,3
*N1CC(=O)NC(=O)C1,113.1,2,1,8
*C(C)(C)C(=O)O,87.1,2,0,6
*N1CCCC1=N,83.11,2,1,6
*c1[nH]c(=O)[nH]c(=O)c1Cl,145.52,2,1,9
*C[C@@H](O)CCCCC,115.2,2,0,8
*n1cnc2c(N)nc(Cl)nc21,168.57,2,2,11
*c1ccc(C)c(S(N)(=O)=O)c1,170.21,2,1,11
*c1cc(C#N)c(=O)[nH]c1C,133.13,2,1,10
*c1c(C)cccc1Cl,125.58,2,1,8
*C(CO)CO,75.09,2,0,5
*C(=O)CC#N,68.06,2,0,5
*C(=O)/C(=N\OC)c1ccco1,152.13,2,1,11
*[N+]1(C)CCCC1,85.15,2,1,6
*[C@@H](O)CN,60.08,2,0,4
*C(=O)C(=O)O,73.03,2,0,5
*N/C(=N/C)NC,86.12,2,0,6
*c1cccc2c1CCCC2=O,145.18,2,2,11
*c1ccsc1,83.13,2,1,5
*c1cnc2c(C)cccn2c1=O,159.17,2,2,12
*N1[C@H](C#N)C[C@@H]2C[C@@H]21,107.14,2,2,8
*c1c([O-])c2ccccc2oc1=O,160.13,2,2,12
*c1ccoc1,67.07,2,1,5
*c1ncnc2[nH]cnc12,119.11,2,2,9
*n1cnc(N)nc1=O,111.08,2,1,8
*CC1=NCCCN1C,111.17,2,1,8
*CCC(CO)CO,103.14,2,0,7
*C1CC2CCCC(C1)N2C,138.23,2,2,10
*C(=O)CCCC,85.13,2,0,6
*N1C(=O)C2(CCCC2)N=C1CCCC,193.27,2,2,14
*c1nnc(C)o1,83.07,2,1,6
*C1(C#C)CCCCC1,107.18,2,1,8
*c1ccc2c(c1)CN[C@@H]2C,132.19,2,2,10
*[C@@H]1CCc2[nH]cnc2C1,121.16,2,2,9
*C1(O)CCCC1,85.13,2,1,6
*[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,132.14,2,1,9
*c1ccccc1O,93.1,2,1,7
*c1cccc([131I])c1,207.0,2,1,7
*C(C)C(C)(C)C,85.17,2,0,6
*c1cc(Cl)c(N)c2c1OCC2,168.6,2,2,11
*c1ccc(Br)cc1Cl,190.45,2,1,8
*C(CC)CC,71.14,2,0,5
*C1CCC[N+](C)(C)C1,113.2,2,1,8
*N1CCC[C@H]1C#N,95.12,2,1,7
*CCC(=O)[O-],72.06,2,0,5
*c1ccc(C(=N)N)cc1O,135.15,2,1,10
*C[C@](C)(NN)C(=O)O,117.13,2,0,8
*c1ccc(C)c(C)c1,105.16,2,1,8
*C(=O)NO,60.03,2,0,4
*C1OCCNC1C,100.14,2,1,7
*CNNC,59.09,2,0,4
*c1ccc2c(c1)CCO2,119.14,2,2,9
*c1ccc2c(c1)CCC2,117.17,2,2,9
*C(=O)[C@H](O)C(C)(C)CO,131.15,2,0,9
*N1CCCC[C@@H](N)C1,113.18,2,1,8
*C(=O)CCC(=O)[O-],100.07,2,0,7
*N1CC[N+](C)(C)CC1,114.19,2,1,8
*c1nn(C)c2ccccc12,131.16,2,2,10
*C1C(=O)Nc2ccc(F)cc21,150.13,2,2,11
*c1c(Cl)ccc(C)c1Cl,160.02,2,1,9
*c1c(C)nc2n(c1=O)CCCC2O,179.2,2,2,13
*N1C[C@@H]2CCCN[C@@H]2C1,125.2,2,2,9
*c1nccs1,84.12,2,1,5
*c1nccc(C)n1,93.11,2,1,7
*c1nc(C)cc(C)n1,107.14,2,1,8
*c1onc(C)c1C,96.11,2,1,7
*S(=O)(=O)c1cccc2cccnc12,192.22,2,2,13
*c1cnn(C)c1,81.1,2,1,6
*C[C@](C)(N)C(=O)O,102.11,2,0,7
*C1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,221.24,2,2,16
*c1ccc2n1CCC2C(=O)O,150.16,2,2,11
*C(=O)C(C)C,71.1,2,0,5
*C[S+]([O-])c1nc2ccccc2[nH]1,179.22,2,2,12
*C[C@@H](O)C(C)CC#CC,125.19,2,0,9
*N1CCS(=O)(=O)CC1,134.18,2,1,8
*c1cc2ccccc2s1,133.19,2,2,9
*c1ccc2ncccc2c1,128.15,2,2,10
*[C@@H]1C[C@@H](O)CC(=O)O1,115.11,2,1,8
*C(C)CCCN,86.16,2,0,6
*C(=O)CC(C)O,87.1,2,0,6
*C(=O)N(CCCl)N=O,135.53,2,0,8
*CC/N=C(\NC)NC#N,125.15,2,0,9
*N1C[C@@H]2[C@@H](N)[C@@H]2C1,97.14,2,2,7
*c1cccc(C#C)c1,101.13,2,1,8
*OC(F)(F)Cl,101.46,2,0,5
*c1cccc2c1CCO2,119.14,2,2,9
*C(=O)C(Br)C(C)C,164.02,2,0,7
*c1cc(Cl)cc(Cl)c1,146.0,2,1,8
*c1c(F)cccc1F,113.09,2,1,8
*c1cccc2sccc12,133.19,2,2,9
*c1ccc2ccc(=O)[nH]c2c1,144.15,2,2,11
*c1cnc(C)nc1C,107.14,2,1,8
*c1ccc(F)cn1,96.08,2,1,7
*N(C)CS(=O)(=O)[O-],123.13,2,0,7
*CC(C)(C)O,73.11,2,0,5
*CC(N)=O,58.06,2,0,4
*n1ncnn1,69.05,2,1,5
*n1cc(C#N)cn1,92.08,2,1,7
*[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C,188.23,2,2,12
*n1ccnn1,68.06,2,1,5
*COP(=O)(O)O,111.01,2,0,6
*c1c(C)n[nH]c1C,95.12,2,1,7
*N1CC[C@H](O)C1,86.11,2,1,6
*C1(C)C2CCC(C2)C1(C)C,137.25,2,2,10
*CCCS(=O)(=O)O,123.15,2,0,7
*c1c[nH]c(=O)c(N)c1,109.11,2,1,8
*CC(O)C(C)(C)C,101.17,2,0,7
*c1ncnc2nc[nH]c12,119.11,2,2,9
*CCCCCCC(=O)O,129.18,2,0,9
*C1COc2ccccc2O1,135.14,2,2,10
*C1CCc2cc(F)ccc2O1,151.16,2,2,11
*c1ccc2nc(N)sc2c1,149.2,2,2,10
*N1CCCCCCC1,112.2,2,1,8
*OC(F)(F)F,85.0,2,0,5
*c1nnc(N)nc1N,110.1,2,1,8
*c1ncn(C)n1,82.09,2,1,6
*n1ccc(=O)[nH]c1=O,111.08,2,1,8
*c1ccc2c(c1)NC(=O)CC2,146.17,2,2,11
*c1onc(C)c1Cl,116.53,2,1,7
*c1cc2c(cc1C)OCO2,135.14,2,2,10
*c1ccc2cnccc2c1,128.15,2,2,10
*CS(N)(=O)=O,94.11,2,0,5
*NC=N,43.05,2,0,3
*c1noc2ccccc12,118.11,2,2,9
*[C@@H](CS)C(=O)O,105.14,2,0,6
*C1(C2=CCCCC2)C(=O)NC(=O)NC1=O,207.21,2,2,15
*C1OC(N)=NC1=O,99.07,2,1,7
*c1ccc2nc(N)nc(N)c2c1C,173.2,2,2,13
*OCP(=O)(O)O,111.01,2,0,6
*C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,165.16,2,0,11
*[C@H]1COC(=O)N1,86.07,2,1,6
*N1CCNC1=O,85.09,2,1,6
*OS(N)(=O)=O,96.09,2,0,5
*N1CCCC1=O,84.1,2,1,6
*[C@H]1CCc2c(O)cccc2C1,147.2,2,2,11
*OCCl,65.48,1,0,3
*C1(N)CCCCC1,98.17,1,1,7
*C[C@H](O)CO,75.09,1,0,5
*C(=O)C(F)(F)F,97.02,1,0,6
*[C@@H]1CCNC1=O,84.1,1,1,6
*C(F)F,51.02,1,0,3
*C1C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],77.18,1,1,5
*C(=O)C(CC)CC,99.15,1,0,7
*[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,147.11,1,1,10
*c1ccc([123I])cc1,199.0,1,1,7
*[C@@H]1C(C)=C[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-],232.22,1,2,15
*c1cc(C)c2nc(C)cn2n1,146.17,1,2,11
*N1CCNC2(CC2)C1,111.17,1,2,8
*c1cc2cc(Cl)ccc2[nH]c1=O,178.6,1,2,12
*c1ccc(C#N)n(C)c1=O,133.13,1,1,10
*OP(=O)([O-])O,95.98,1,0,5
*[C@H](C)C(=O)[O-],72.06,1,0,5
*[C@@H]1C(C)=C[C@@H]2CN1C(=O)N2OS(=O)(=O)O,233.22,1,2,15
*SC(P(=O)([O-])O)P(=O)([O-])O,205.04,1,0,10
*c1nnc(S([NH-])(=O)=O)s1,163.18,1,1,9
*[C@H]1CC[S+]([O-])C1,103.17,1,1,6
*c1ccccc1[123I],199.0,1,1,7
*c1ccc(C#N)c(Cl)c1,136.56,1,1,9
*c1ncnc2nc[n-]c12,118.1,1,2,9
*c1cc(F)cc(C#N)c1,120.11,1,1,9
*c1ccccc1[131I],207.0,1,1,7
*c1cccc(Cl)n1,112.54,1,1,7
*c1ccc(S(C)(=O)=O)c2c1[C@@H](F)[C@@H](F)[C@H]2O,247.24,1,2,16
*[C@H](C)C(F)(F)F,97.06,1,0,6
*c1nc(N)c(F)cc1F,129.09,1,1,9
*c1ccc(I)cc1,203.0,1,1,7
*C(=O)CC(C)(C)C,99.15,1,0,7
*S(=O)(=O)CC,93.13,1,0,5
*[C@]1(N)C[C@H](F)C1,88.11,1,1,6
*C(=O)[C@@H]1CCc2nccc(=O)n21,163.16,1,2,12
*[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-],220.21,1,2,14
*C(C)CCC(=O)[O-],100.12,1,0,7
*C(C)NN,59.09,1,0,4
*C1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O,206.2,1,2,15
*CC(C)NN,73.12,1,0,5
*C(C)I,154.96,1,0,3
*N1Cc2cn(S(C)(=O)=O)nc2C1,186.22,1,2,12
*c1cnc2cc(C)nn2c1,132.15,1,2,10
*C(=O)N(C)N=O,87.06,1,0,6
*c1ccc(/C(C)=N/O)cc1,134.16,1,1,10
*C[S+]([O-])c1nc2ccccc2[n-]1,178.22,1,2,12
*OCOP(=O)([O-])[O-],125.0,1,0,7
*[C@H]1OC(O)[C@H]([18F])[C@@H](O)[C@@H]1O,150.12,1,1,10
*CCCS(=O)(=O)[O-],122.14,1,0,7
*[C@H]1OC(O)[C@H](F)[C@@H](O)[C@@H]1O,151.11,1,1,10
*[N+](C)(C)[11CH3],58.11,1,0,4
*c1nnn(C)n1,83.07,1,1,6
*[C@@H](O)[C@H](N)C(=O)O,104.08,1,0,7
*N1CC(O)C1,72.09,1,1,5
*c1ccc2c(c1)OC(F)(F)O2,157.09,1,2,11
*N1CCC(=C)CC1,96.15,1,1,7
*CCC#N,54.07,1,0,4
*N1C[C@@H]2NCCO[C@H]2C1,127.17,1,2,9
*CCCCl,77.53,1,0,4
*N1CCSC1,88.16,1,1,5
*CC(O)CC(O)CC(=O)[O-],146.14,1,0,10
*CCCO,59.09,1,0,4
*OP(=O)([O-])[O-],94.97,1,0,5
*c1cccc([123I])c1,199.0,1,1,7
*S(=O)(=O)CCC,107.15,1,0,6
*c1ccc(/C=N/N2CC(=O)NC2=O)o1,192.15,1,2,14
*C(C)(C)C(=O)[O-],86.09,1,0,6
*C[C@@H](O)C[C@@H](O)CC(=O)O,147.15,1,0,10
*OCOP(=O)(O)O,127.01,1,0,7
*c1ccc(F)nc1,96.08,1,1,7
*C[S@@+]([O-])c1nc2ccccc2[nH]1,179.22,1,2,12
*c1ccc([18F])nc1,95.09,1,1,7
*[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,149.12,1,1,10
*n1ccc(=O)[n-]c1=O,110.07,1,1,8
*n1nc(C#N)c(=O)[nH]c1=O,137.08,1,1,10
*N1CC[C@@H](O)NC1=O,115.11,1,1,8
*c1ccc(Br)cc1F,173.99,1,1,8
*c1cc(C)cc(C)c1,105.16,1,1,8
*C(C)(C)C(F)(F)F,111.09,1,0,7
*c1n[nH]c(=O)n1C,98.08,1,1,7
*c1cc(Cl)cc(C#N)c1,136.56,1,1,9
*CC(O)CC(O)CC(=O)O,147.15,1,0,10
*N1N=C(N)CC1=O,98.08,1,1,7
*c1ccc(Cl)c(Cl)c1,146.0,1,1,8
*[C@@H]1CCCN1C,84.14,1,1,6
*COP(=O)([O-])[O-],109.0,1,0,6
*C1CNC(=O)O1,86.07,1,1,6
*c1nc2c(N)nc(N)nc2nc1N,176.16,1,2,13
*c1cscn1,84.12,1,1,5
*c1cnccn1,79.08,1,1,6
*C[C@@H](C)N,58.1,1,0,4
*C1CCCC1=O,83.11,1,1,6
*c1ncc(C)s1,98.15,1,1,6
*c1ccc2ccccc2c1,127.17,1,2,10
*N1Cc2ccccc2C1=O,132.14,1,2,10
*n1cnc2cnc(N)nc21,134.12,1,2,10
*c1ccc(Cl)cc1Cl,146.0,1,1,8
*C1C(C)=C(CC(=O)O)c2cc(F)ccc21,205.21,1,2,15
*c1ccc([S+](C)[O-])cc1,139.2,1,1,9
*C(=O)CCCCCCC(=O)NO,172.2,1,0,12
*C(=O)[C@@H](C)CC,85.13,1,0,6
*C(C)N(O)C(N)=O,103.1,1,0,7
*c1cc(Br)ccc1O,172.0,1,1,8
*c1ncncc1F,97.07,1,1,7
*C(=O)C(Cl)Cl,111.94,1,0,5
*C1(C)CC(=O)NC1=O,112.11,1,1,8
*C(CN)CC(=O)O,102.11,1,0,7
*c1cc(N)ccc1O,108.12,1,1,8
*c1ccc2c(c1)C(C)(C)CCC2(C)C,187.31,1,2,14
*n1cc(I)c(=O)[nH]c1=O,236.98,1,1,9
*c1ccc2c(c1)CCC(=O)N2,146.17,1,2,11
*c1cc(N)[n+]([O-])c(N)n1,125.11,1,1,9
*c1ncn2c(=O)n(C)nnc12,150.12,1,2,11
*C(=O)NN1CCCCCC1,141.19,1,1,10
*c1cccc(I)c1,203.0,1,1,7
*NC1=NCCO1,85.09,1,1,6
*N1C(=O)c2cccc(N)c2C1=O,161.14,1,2,12
*N1C[C@@H](C)N[C@@H](C)C1,113.18,1,1,8
*[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,143.19,1,2,9
*c1cccc2[nH]ccc12,116.14,1,2,9
*S(=O)(=O)c1ccc(Cl)cc1,175.62,1,1,10
*N1C(=O)c2ccccc2C1=O,146.12,1,2,11
*c1ccnc2c(C#N)cnn12,143.13,1,2,11
*N1C(=O)CC2(CCCC2)CC1=O,166.2,1,2,12
*c1c(C)nc2n(c1=O)CCCC2,163.2,1,2,12
*c1cncn1C,81.1,1,1,6
*n1c(C)nc2ccccc2c1=O,159.17,1,2,12
*n1nc2ccccn2c1=O,134.12,1,2,10
*C1(C)CC(=O)N(C)C1=O,126.13,1,1,9
*C1CC(=O)N(C)C1=O,112.11,1,1,8
*N1C(=O)CC(C)(C)CC1=O,140.16,1,1,10
*N1N=C(C)CC1=O,97.1,1,1,7
*C1(C)OC(=O)N(C)C1=O,128.11,1,1,9
*c1ccc[n+](C)c1,93.13,1,1,7
*C(Cl)C(F)(F)F,117.48,1,0,6
*C(F)(F)C(F)Cl,117.48,1,0,6
*C(F)(F)C(Cl)Cl,133.93,1,0,6
*c1c(C)c(Cl)c(C)[n+]([O-])c1Cl,191.04,1,1,11
*C(=O)NN,59.05,1,0,4
*c1nc2cc(Cl)ccc2o1,152.56,1,2,10
*C(C(F)(F)F)C(F)(F)F,151.03,1,0,9
*OCF,49.02,1,0,3
*C(F)C(F)(F)F,101.02,1,0,6
*[C@@H]1C[C@H]1N,56.09,1,1,4
*[C@H]1C[C@@H]1N,56.09,1,1,4
*C(=O)NN1c2ccccc2CC1C,175.21,1,2,13
*c1ccc(Cl)c(S(N)(=O)=O)c1,190.63,1,1,11
*C1(C)CCc2c(C)c(O)c(C)c(C)c2O1,205.28,1,2,15
*C(=O)C(C)(O)CS(=O)(=O)c1ccc(F)cc1,245.25,1,1,16
*c1ccc2nc(S(N)(=O)=O)sc2c1,213.26,1,2,13
*c1nnc(S(N)(=O)=O)s1,164.19,1,1,9
*CCCC(C)(C)C(=O)O,129.18,1,0,9
*c1cc(C)ccc1C,105.16,1,1,8
*C(C)CCC(=O)O,101.12,1,0,7
*n1cc(F)c(N)nc1=O,128.09,1,1,9
*[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,117.12,1,1,8
*c1c(F)cccc1Cl,129.54,1,1,8
*N(C)CS(=O)(=O)O,124.14,1,0,7
*OS(C)(=O)=O,95.1,1,0,5
*C(=O)[C@H](C)CS,103.17,1,0,6
*[C@@H](O)CO,61.06,1,0,4
*n1cnc2c(O)nc(N)nc21,150.12,1,2,11
*C1CCC(C)CC1O,113.18,1,1,8
*[C@]1(N)C[C@H]([18F])C1,87.11,1,1,6
*c1csc(N=C(N)N)n1,141.18,1,1,9
*c1cc(=O)[nH]c(=S)[nH]1,127.15,1,1,8
*c1cnc(O)nc1O,111.08,1,1,8
*c1nc(C)c2ccccc2n1,143.17,1,2,11
*CC#CC,53.08,1,0,4
*N1CCCCC1=O,98.12,1,1,7
*n1cnc2c(=O)[nH]cnc21,135.11,1,2,10
*CCl,49.48,1,0,2
*n1cnc2c1N=CNC[C@H]2O,151.15,1,2,11
*C(=O)[C@H](N)C1=CCC=CC1,136.17,1,1,10
*c1ccc(C(=N)N(C)C)cc1,147.2,1,1,11
*N1CCC(F)(F)C1,106.1,1,1,7
*c1ccc(S(C)(=O)=O)cc1Cl,189.64,1,1,11
*c1cccc2c1CC(O)C(O)C2,163.2,1,2,12
*c1n[nH]c(=O)c2ccccc12,145.14,1,2,11
*c1cccc2nonc12,119.1,1,2,9
*CC(O)(P(=O)([O-])O)P(=O)(O)O,204.01,1,0,11
*CCCCN,72.13,1,0,5
*c1ccccc1I,203.0,1,1,7
*c1cc(C)nc(C)n1,107.14,1,1,8
*C1CC1(Cl)Cl,109.96,1,1,5
*CCCC(=O)[O-],86.09,1,0,6
*N1CCC2(CC1)CNC(=O)O2,155.18,1,2,11
*n1cnc2c1c(=O)n(C)c(=O)n2C,179.16,1,2,13
*n1c(=O)[nH]c2ccccc21,133.13,1,2,10
*c1cc(Cl)ccc1O,127.55,1,1,8
*c1cc(C(N)=S)ccn1,137.19,1,1,9
